eye_shoulder_y_ratio,shoulder_y_diff,wrist_distance_x,wrist_shoulder_ratio,nose_eye_center_offset_x,shoulder_span,hip_shoulder_y_diff,body_lean_x,shoulder_center_x,hip_center_x,spine_angle,eye_distance,head_tilt_angle,eye_distance_ratio,shoulder_slope,head_direction,arm_position,posture,confidence_label
-0.5358414798974991,0.0028907060623168,0.5781355500221252,1.1994495449350115,0.0030383765697479,0.4819993931289879,1.0174028873443604,-0.0140925794839859,0.5225432962179184,0.5366358757019043,89.20641694377905,0.1514046735226372,-17.014997791872762,0.3141179754185289,0.0028907060623168,Looking Straight,Partially Open,Upright,Neutral
-0.5312018692493439,0.0016946792602539,0.5494484901428223,1.1632150349053378,0.0041432678699493,0.472346365700813,1.013053476810455,-0.0193821191787719,0.507583737373352,0.526965856552124,88.9039293761055,0.1453016394395843,-16.42423573892005,0.3076167194046312,0.0016946792602539,Looking Straight,Partially Open,Upright,Neutral
-0.5332439839839935,0.0014316439628601,0.5511295795440674,1.1758302293154062,0.003935307264328,0.4687074531623839,1.0102244317531586,-0.020307719707489,0.5011049658060074,0.5214126855134964,88.84838467247309,0.1437425473371572,-15.01931040858835,0.3066786038227508,0.0014316439628601,Looking Straight,Partially Open,Upright,Neutral
-0.5297081917524338,0.0009757876396179,0.5019228160381317,1.0912021753140824,0.0029540807008743,0.4599633732509015,0.994979590177536,-0.0147901624441146,0.4899987727403641,0.5047889351844788,89.14837300424662,0.1422129262315951,-14.232465382271691,0.309183153489964,0.0009757876396179,Looking Straight,Closed Arms,Upright,Neutral
-0.5324601233005524,0.0165959000587463,0.5241150856018066,1.1457283688373454,0.0024158358573913,0.4577423835307724,0.9944725334644318,-0.0238782688975334,0.4762591794133186,0.500137448310852,88.62453596818926,0.1373703163503161,-12.30065357064055,0.3001039914432157,0.0165959000587463,Looking Straight,Partially Open,Upright,Neutral
-0.522939071059227,0.0278952717781066,0.5521647334098816,1.2199637318415657,0.0033461451530456,0.4534563288702027,0.9868004024028778,-0.024357184767723,0.4707815051078796,0.4951386898756027,88.58605593147333,0.1369181228810158,-12.76103086736078,0.3019433496984165,0.0278952717781066,Looking Straight,Partially Open,Upright,Confident
-0.5188177078962326,0.0349957346916198,0.5541406720876694,1.2404959351717593,0.0006968080997467,0.4480677168444713,0.9801182448863984,-0.0268852934241294,0.4612404927611351,0.4881257861852646,88.42873278856662,0.1394326970431118,-14.401014479266854,0.3111866617507511,0.0349957346916198,Looking Straight,Partially Open,Stiff,Confident
-0.5181697756052017,0.0379148125648498,0.5854706019163132,1.3046675095983815,0.0006326287984848,0.450339702570374,0.9813663065433502,-0.0231411904096603,0.448252871632576,0.4713940620422363,88.64918240518438,0.1377050675270938,-13.571752827053048,0.3057804291762946,0.0379148125648498,Looking Straight,Partially Open,Stiff,Confident
-0.5171831697225571,0.0412734746932983,0.5914064794778824,1.324644097800108,0.0016374886035919,0.4483581857940166,0.9811667799949646,-0.0213040262460708,0.4425469487905502,0.4638509750366211,88.75613499496598,0.1367635870830662,-13.190013549522048,0.3050319842847651,0.0412734746932983,Looking Straight,Partially Open,Stiff,Confident
-0.5218882411718369,0.0473896265029907,0.5936470776796341,1.337921683013079,0.0039038062095642,0.4462219617618109,0.974190354347229,-0.0260963812470436,0.4380790665745735,0.4641754478216171,88.46554114783571,0.1373815458085513,-14.95758440802538,0.3078771498967241,0.0473896265029907,Looking Straight,Partially Open,Stiff,Confident
-0.4999686181545257,0.0509256720542907,0.6018475443124771,1.3637508080545653,-0.000171959400177,0.4442364494033462,0.9720047414302826,-0.026503287255764,0.4403947964310646,0.4668980836868286,88.43812454776887,0.1349447049281291,-9.794794172163504,0.3037677460041231,0.0509256720542907,Looking Straight,Partially Open,Stiff,Neutral
-0.5067811012268066,0.0614643096923828,0.6133337020874023,1.3947726711059794,0.0002990365028381,0.4440023017498982,0.9716861844062804,-0.0274225622415542,0.4418378621339798,0.469260424375534,88.38344912956731,0.1375161651535382,-11.515550363615391,0.3097194870647307,0.0614643096923828,Looking Straight,Partially Open,Stiff,Neutral
